# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 75K of event 'cycles:u'
# Event count (approx.): 34212682593
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                               
# ........  .......  ............................  .....................................................................................................................................................................................................
#
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047234
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000228ba
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034fdd
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026469
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000015408
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000035580
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000470e5
     0.00%  program  libc.so.6                     [.] fopen@@GLIBC_2.2.5
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001da3d
     0.00%  program  libc.so.6                     [.] __sigsetjmp
     0.00%  program  ld-linux-x86-64.so.2          [.] _dl_map_object_from_fd
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b32c
     0.00%  program  libopencv_core.so.4.5.5       [.] cv::Mat::getDefaultAllocator
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000470dd
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x000000000001647a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000471e0
     0.00%  program  libc.so.6                     [.] _IO_file_close
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001da55
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002261e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002431f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034f78
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000242bd
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022840
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026f30
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d861
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004c5c0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a90d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b2c1
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047138
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b00e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a9d1
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026ed0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b3d2
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020907
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034f20
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022f8e
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b44a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a99f
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a701
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b219
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b072
     0.00%  program  libc.so.6                     [.] _mid_memalign.constprop.0
